Sample	Taxon	TaxonName	MappedReads	Accession	GenomeLength	AvgReadLength	CoveredBases	Co	Ce	R	Pass	Lineage	AccessionName	Farm	Symptoms	PCR	Location	Age	Age_bracket	CP-Values	Virus
barcode32	2029293	Squirrelpox virus Berlin_2015	4	NC_035797.1	142974	281.673	68	0.0004756109502427	0.007849428902119	0.0605917903293964	False	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;unclassified Chordopoxvirinae;Squirrelpox virus Berlin_2015	Squirrelpox virus Berlin_2015, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	97195	Heterosigma akashiwo virus 01	3	NC_038553.1	274793	281.673	83	0.0003020455397335	0.0030703877723368	0.0983737436863435	False	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Raphidovirus;Raphidovirus japonicum;Heterosigma akashiwo virus 01	Heterosigma akashiwo virus 01 isolate HaV53, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	1349409	Pandoravirus dulcis	173	NC_021858.1	1908524	281.673	145	7.597494189226858e-05	0.0252093226616827	0.0030137637139988	False	Viruses;unclassified viruses;unclassified DNA viruses;unclassified dsDNA viruses;Pandoravirus;Pandoravirus dulcis	Pandoravirus dulcis, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	1349410	Pandoravirus salinus	140	NC_022098.1	2473870	281.673	294	0.0001188421380266	0.0158139218271031	0.0075150325976048	False	Viruses;unclassified viruses;unclassified DNA viruses;unclassified dsDNA viruses;Pandoravirus;Pandoravirus salinus	Pandoravirus salinus, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	1605721	Pandoravirus inopinatum	4	NC_026440.1	2243109	281.673	126	5.617203622293879e-05	0.0005021642212269	0.1118598933346784	False	Viruses;unclassified viruses;unclassified DNA viruses;unclassified dsDNA viruses;Pandoravirus;Pandoravirus inopinatum	Pandoravirus inopinatum isolate KlaHel, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	2024608	Bodo saltans virus	2	NC_075036.1	1385869	281.673	111	8.009415031290836e-05	0.0004064103587131	0.1970770394891489	False	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Klosneuvirinae;Theiavirus;Theiavirus salishense;Bodo saltans virus	Bodo saltans virus strain NG1, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	2109587	Moumouvirus australiensis	2	NC_075368.1	1098002	281.673	60	5.464470920817995e-05	0.000512933044071	0.1065338056103249	False	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Moumouvirus;Moumouvirus australiense;Moumouvirus australiensis	Moumouvirus australiensis isolate 10A, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	164	PV730382.1	30044	292.916	13196	0.4392224737052323	0.7978871425628368	0.5504819544960167	True	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	3	PQ241464.1	30540	292.916	1098	0.0359528487229862	0.0283636537231376	1.2675676086701664	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	3	OQ798806.1	30125	292.916	676	0.0224398340248962	0.0287487187174199	0.7805507523818493	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	1	OQ798807.1	29803	292.916	146	0.0048988356876824	0.0097802655940743	0.5008898419538392	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	10	OQ798808.1	29816	292.916	1340	0.0449423128521599	0.0935697651671532	0.4803080650237273	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	7	OQ798809.1	29821	292.916	1925	0.0645518258945038	0.0664467914739337	0.9714814585114582	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	1	OQ798810.1	30117	292.916	425	0.0141116313045788	0.0096787915707537	1.4579951641090847	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	3	OQ798811.1	30127	292.916	1066	0.0353835430012945	0.0287468379139061	1.230867308163234	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	4	OQ798813.1	30107	292.916	1475	0.0489919287873252	0.0381691389594424	1.2835481785267109	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	1	OQ798814.1	30120	292.916	323	0.0107237715803452	0.0096778322276381	1.108075788885871	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	3	OQ798815.1	29803	292.916	695	0.0233198000201322	0.0290547715145159	0.8026151576680433	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	2	OQ798816.1	30120	292.916	759	0.0251992031872509	0.01926200401865	1.3082337207931392	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	1	OQ798817.1	30127	292.916	384	0.0127460417565638	0.0096755944997667	1.3173393900365673	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	5	OQ798818.1	30155	292.916	1425	0.047255844801857	0.0474078170055266	0.9967943640254124	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	23	OQ798819.1	29478	292.916	2331	0.0790759210258497	0.2043100087678944	0.3870388998694806	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	2	OQ798820.1	29776	292.916	647	0.0217289091886082	0.0194823547103223	1.1153122664939288	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	2	OQ798821.1	29779	292.916	697	0.0234057557339064	0.0194804112587476	1.201502135813283	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	28	OQ798824.1	30029	292.916	2126	0.0707982283792334	0.2390017696587	0.2962247036092448	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	9	OQ798825.1	29811	292.916	2483	0.0832914025024319	0.0846345743166133	0.9841297504592312	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	14	OQ798826.1	30029	292.916	1548	0.0515501681707682	0.1276478747998031	0.4038466621682272	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	7	OQ798827.1	30029	292.916	1513	0.050384628192747	0.0660020743062664	0.7633794653020975	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	7	OQ798828.1	30029	292.916	1116	0.0371640747277631	0.0660020743062664	0.5630743445321486	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	26	OQ798829.1	30029	292.916	1644	0.0547470778247693	0.2240097876327418	0.244395918603904	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	4	OQ305207.1	30331	292.916	1755	0.0578615937489697	0.0378926625940031	1.5269867512062036	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	6	OQ305208.1	30126	292.916	1525	0.0506207262829449	0.0566691218134874	0.893268232557947	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	222	OP959790.1	30480	292.916	17542	0.5755249343832021	0.8815711957624734	0.6528399942620957	True	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	28295	Porcine epidemic diarrhea virus	3	OM914738.1	28095	292.916	74	0.0026339206264459	0.0307936480480842	0.0855345434335393	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Pedacovirus;Alphacoronavirus porci;Porcine epidemic diarrhea virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	9	OL542832.1	29982	292.916	1549	0.0516643319324928	0.0841727799816243	0.6137890651083595	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	25	MW165134.1	30673	292.916	4045	0.13187493887132	0.212381081609566	0.6209354330050655	True	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	2805939	Circular ssDNA virus sp.	2	MT135246.1	2880	292.916	141	0.0489583333333333	0.1840595371625337	0.2659918311654814	False	Viruses;unclassified viruses;unclassified DNA viruses;unclassified ssDNA viruses;Circular ssDNA virus sp.		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	2805939	Circular ssDNA virus sp.	1	MT135248.1	3025	292.916	233	0.0770247933884297	0.0922912715943802	0.8345837266925243	False	Viruses;unclassified viruses;unclassified DNA viruses;unclassified ssDNA viruses;Circular ssDNA virus sp.		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	45	MF083115.1	30682	292.916	9961	0.3246528909458314	0.3492355872917342	0.929609990389188	True	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	40	KY994645.1	30684	292.916	9486	0.3091513492373876	0.3174015548872958	0.9740070408513348	True	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	6	KY419103.1	30632	292.916	1945	0.0634956907808827	0.055759624621738	1.138739566695878	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	7	KY419104.1	30530	292.916	1428	0.0467736652472977	0.0649549447116721	0.7200939890707454	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	2	KY419105.1	30513	292.916	405	0.0132730311670435	0.0190162881728552	0.6979822269411172	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	31	KY419106.1	29866	292.916	1112	0.0372329739503113	0.2621670998881141	0.1420200092467796	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	31	KY419107.1	29866	292.916	1989	0.0665974686934976	0.2621670998881141	0.2540267971149684	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	40	KY419109.1	29906	292.916	2290	0.0765732628903898	0.3241487361599942	0.2362287874310719	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
barcode33	42005	Porcine hemagglutinating encephalomyelitis virus	2	KY419110.1	30515	292.916	886	0.0290349008684253	0.0190150537417045	1.526942877092423	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus gravedinis;Betacoronavirus 1;Porcine hemagglutinating encephalomyelitis virus		Farm 9	With Symptoms	Negative PCR	Lucerne	14-16	13-16		Coronavirus
